y,Community Type,Total Count,Classified,Not Classified
1,Exurbs,3281,,3281
2,Graying America,5366,275.0,5091
3,African American South,5408,2294.0,3114
4,Evangelical Hubs,5326,,5326
5,Working Class Country,4788,,4788
6,Military Posts,1286,,1286
7,Urban Suburbs,1539,,1539
8,Hispanic Centers,2322,43.0,2279
9,Native American Lands,579,,579
10,Rural Middle America,8676,8298.0,378
11,College Towns,2254,,2254
12,LDS Enclaves,610,,610
13,Aging Farmlands,2331,,2331
14,Big Cities,703,,703
15,Middle Suburbs,1124,,1124
